PC1         81 min    7054495 bytes
    06:55   07:25     5140237
    07:58   08:05      541702
    11:14   11:25      347800
    13:24   13:57     1024756
PC2         94 min    6985342 bytes
    08:38   08:49      452788
    10:01   10:24      552331
    13:26   14:01     2501200
    14:59   15:24     3479023
PC3         60 min    3898744 bytes
    10:05   10:08      102341
    07:02   07:39     2345781
    11:35   11:55     1450622
PC4         78 min   10462758 bytes
    10:41   11:06     7801234
    08:21   08:54     1457784
    13:58   14:18     1203740
PC5         67 min    3207316 bytes
    13:02   13:15      325404
    11:18   11:27      401235
    14:26   14:48      974560
    08:39   09:02     1506117
PC6         29 min   1389164 bytes
    09:32   09:45      644162
    12:35   12:51      745002
